,pub_year,title,link_url
0,2020,코로나19와 환경보건  당면한 과제와 전망,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10443828
1,2020,새로운 진앙지로 떠오른 라틴아메리카 코로나19 극복 가능한가,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10476866
2,2020,코로나 위기 한국판 뉴딜 그리고 교통 · 물류 부문 응전應戰,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10484639
3,2020,코로나바이러스감염증 2019코로나19 확산과 대기 중 PMSUBgt;10SUBgt; 및 PMSUBgt;25SUBgt; 농도 변화 간의 연관성 대구광역시 사례 분석,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10484169
4,2020,코로나19 시대에 예수님의 강생 묵상  하나에 통하면 모든 것에 통한다,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10480044
5,2020,포스트 코로나 시대 위기를 기회로,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10484370
6,2020,코로나19 정보와 여행 의사결정과정에 관한 연구  목표지향적 행동모형을 활용하여,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10480390
7,2020,앙트러프러너십과 변혁적 리더십이 취·창업 인식에 미치는 영향 연구  코로나 19 사회적 이슈의 매개효과,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10484184
8,2020,어린이집의 코로나19 대응 현황과 어려움에 관한 연구,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10482430
9,2020,장애아통합어린이집의 코로나19 대응 관련 원장의 어려움과 지원요구,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10482424
10,2020,코로나19 펜데믹 상황과 아시아 선교,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10484262
11,2020,컨테이젼gt;과 코로나19의 위험사회론 연구,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10482970
12,2020,교회의 5대 본질적 기능 재고찰을 통한 포스트 코로나 교회론,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10479801
