,pub_date,original_title,foreign_title,english_title,author,original_abstract,english_abstract,url
0,2020.09,코로나-19의 사회-공간 읽기: 코로나-19 발생과 전개의 분석과 포스트 코로나 시대의 전망,,Reading Socio-Space of COVID-19: The Emergence and Diffusion of COVID-19 and Prospects for Post-COVID-19 Age,정현주(서울대학교),,,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002636886
1,2020.05,코로나19 바이러스가 부동산 임대 계약에 미친 영향—코로나19 바이러스의 법률적 성질로 인한 논쟁 및 시사점,The influence of COVID-19 on housing lease contract - The debate and thinking caused by the legal nature of COVID-19,The influence of COVID-19 on housing lease contract - The debate and thinking caused by the legal nature of COVID-19,호팅팅(고려대학교 일반대학원 법학과),"중국의 코로나19 바이러스 발생과 유행은 중국 국민들의 정상적인 사회생활과 생산 질서에 지대한 영향을 미쳤다. 중국 전역에서 힘을 모아 노력한 결과 눈에 띄는 성과를 거두었지만, 코로나19 바이러스가 사회 및 경제생활에 미친 결과가 점차 나타나고 있다. 본문에서는 2003년 사스 발생 당시 각 전문가의 의견을 결합하여 코로나19 바이러스의 법률적 성질을 이해하고 각종 부동산 임대 계약에 미치는 영향에 대해 연구하였다.","The occurrence and popularity of COVID-19 in China greatly interferes with the normal social life and production order of the people. Although remarkable achievements have been made under the concerted efforts of the people of the country, the influence of COVID-19 on social and economic life has gradually emerged. This paper attempts to interpret the legal nature of  COVID-19 and study the impact of COVID-19 on the housing lease contract, based on the opinions of various countries when SARS occurred in 2003.",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002589343
2,2020.08,코로나(COVID-19) 사태의 장기화로 인한 스트레스 수준은 모든 소비자가 동일할 것인가? -코로나 스트레스에 따른 소비자 세분시장에 관한 연구-,,COVID-19 Stress: Is the level of COVID-19 stress same for everybody? -Segmentation approach based on COVID-19 Stress level-,이희정(차의과학대학교),"최근 코로나 19사태의 장기화에 따라 기존의 감염병 유행과는 비교도 안 될 만큼 개인과 사회에 부정적인 영향을 미치고 있으 며, 전 국민의 생활 방식을 변화시킴에 따라 새로운 소비 트렌드가 등장하고 있다. 본 연구는 코로나 위험 관련한 스트레스 및 긍 정/부정적 감정 등을 기준으로 소비자 시장을 세분화하여 이해하고, 코로나 시대를 살아가는 소비자를 보다 깊게 이해하고자 하였 다. 이를 위해 전국의 20∼60대를 대상으로 온라인 설문을 시행하여 총 744명의 유효한 데이터를 분석하였다. SPSS 20.0을 활용하 여 빈도분석, 교차분석, 요인분석, 분산분석, 군집분석, 판별분석 등을 실시하였고 그 결과 총 네 집단으로 소비자를 분류하였다. 우리나라 소비자는 대면접촉과 관련된 스트레스, 코로나 예방시스템에 대한 불확신과 관련된 스트레스, 그리고 코로나 감염정보 를 비정상적으로 탐색하는 스트레스를 겪는 것으로 나타났다. 분류된 네 집단은 ‘삶에 대한 불만 및 코로나 불안 높음’집단, ‘현재 행복형이나 코로나 불안감 높음’집단, ‘현재 행복형이며 코로나 불안감 가장 낮음 집단’, 그리고 ‘SNS 과다사용 및 코로나 스트레 스 가장 높음’집단 이다. 집단에 따라 코로나 사태에 대한 스트레스 정도는 매우 다를 뿐만 아니라 자신의 삶에 대한 만족도 수준 도 차이가 있는 것으로 나타났다. 본 연구결과는 코로나 19사태의 장기화 및 향후 신종 감염병의 주기적 등장에 대비하여 기업의 소비자에 대한 이해도를 높이고 향후 대응 체계를 위한 중요한 자료로 활용할 수 있을 것이다.","Corona virus pandemic causes our everyday life to face difficulties every than before. Pandemic situation is driving customers to change the way they live, consume, and enjoy their life. Non-contacting service is preferred over fact-to-face contact. Thus, it is essential for a company to understand consumer behavior in this pandemic situation in order to satisfy each segment market. This study attempts to segment customers based on COVID-19 stress, positive/negative emotions, and social media usage. Online questionnaire was utilized and a total of 744 cases were analyzed. SPSS 20.0 was used to analyze the data including factor analysis, cluster analysis and discriminant analysis. COVID-19 stress can be subdivided into three: stress related to face-to-face contact, stress related to uncertainty in the corona prevention system, and stress related to searching obsession of COVID-19 information. Four segments are : Group 1 (N=133) &lt;Unhappy and high stress about COVID-19&gt;, Group 2 (N=210) &lt;Happy but high stress about COVID-19&gt;, Group 3(N=166) &lt;Happy and low stress about COVID-19&gt;, and Group 4(N=235) &lt;Heavy SNS users and highest level of COVID-19 stress&gt;. The results of this study are expected not only to help marketers understand various market segmentations based on the identifiable traits of four groups, but also to contribute to providing services and products that can satisfy customers.",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002623594
3,2020.10,코로나바이러스감염증 2019(코로나19) 확산과 대기 중 PM10 및 PM2.5 농도 변화 간의 연관성: 대구광역시 사례 분석,,COVID-19(Coronavirus Disease 2019) Outbreaks and Their Relationship with Atmospheric Concentrations of PM10 and PM2.5: A Case Study for Daegu Metrop olitan City,박선엽(부산대학교),"본 연구는 코로나19 확산 초기에 대구광역시를 중심으로 확진자가 폭증하고 시민의 일상생활이 일시적으로 제한되면서 나타난 도시의 통행량 급감과 대기 질 변화 간의 연관성을 PM10과 PM2.5를 중심으로 파악하였다. 강수의 세정효과와 황사의 영향은 비교적 명확하게 나타났으나 코로나19 확산 기간 중 도로교통량과 PM10 및 PM2.5 농도 간의 뚜렷한 연관성은 나타나지 않았다. 대구광역시의 이동자제령으로 일시적으로 급감한 도시의 통행량은 다시 꾸준히 증가하였으나 PM2.5 농도와 PM2.5/PM10 농도비는 감소 추세를 나타냈다. 반면에 중국 춘절 기간, 황사 발생일, 세계보건기구의 코로나19 세계적 대유행 선언과 같은 주요 시기에 대응하여 PM2.5/PM10 농도비의 감소 경향이 관측되었다.","This study determined the impact of the rapid decrease in traffic volume caused by a surge of Coronavirus disease 2019(COVID-19) cases and a temporary lockdown in Daegu Metropolitan City on air quality changes in the early stages of COVID-19 outbreaks, focusing on PM10 and PM2.5 concentrations. The influences of rainfall washout effect and Asian dust were clearly observed, but no close link between the number of Deagu Metro passengers and the concentrations of PM10 and PM2.5 was found. Although the city’s traffic volume steadily increased after the lockdown, PM2.5 levels and PM2.5/PM10 ratio showed a decreasing trend. On the other hand, the declining patterns of PM2.5/PM10 ratio in the city were evident in response to influential events such as Chinese New Year holidays, occurrences of Asian dust, and the World Health Organization's COVID-19 pandemic declaration.",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002643370
4,2020.10,코로나19 (COVID-19) 관련 위험정보 탐색과 처리가 코로나19 예방 행동 및 정보 공유에 미치는 영향,The Effects of COVID-19 Risk Information Seeking and Processing on its Preventive Behaviors and Information Sharing,The Effects of COVID-19 Risk Information Seeking and Processing on its Preventive Behaviors and Information Sharing,None,"This study aims to examine the effects of users' perceptions of COVID-19 risk on their seeking and processing of relevant information as COVID-19 emerges and spreads worldwide in 2019. We apply the risk information seeking and processing model (RISP Model) to verify whether users’ COVID-19 related information seeking and processing behaviors have a positive effect on their preventive and information sharing behaviors. To achieve this research goal, an online survey was conducted with about 400 of social media users. The users' perceptions of risk for COVID-19 increased their perceived insufficiency of COVID-19 information. In addition, the perceived insufficiency of users' information formed a positive relationship with seeking and searching of information behaviors. The processing of COVID-19 related information has increased related preventive behaviors and sharing of information through social media. While searching for information related to COVID-19 prompted personal information sharing behaviors, it did not significantly affect preventive behaviors. Accordingly, in order to promote COVID-19 preventive behaviors as well as overall user health-related behaviors it can be inferred that additional measures are needed in addition to pursuing relevant information.","This study aims to examine the effects of users' perceptions of COVID-19 risk on their seeking and processing of relevant information as COVID-19 emerges and spreads worldwide in 2019. We apply the risk information seeking and processing model (RISP Model) to verify whether users’ COVID-19 related information seeking and processing behaviors have a positive effect on their preventive and information sharing behaviors. To achieve this research goal, an online survey was conducted with about 400 of social media users. The users' perceptions of risk for COVID-19 increased their perceived insufficiency of COVID-19 information. In addition, the perceived insufficiency of users' information formed a positive relationship with seeking and searching of information behaviors. The processing of COVID-19 related information has increased related preventive behaviors and sharing of information through social media. While searching for information related to COVID-19 prompted personal information sharing behaviors, it did not significantly affect preventive behaviors. Accordingly, in order to promote COVID-19 preventive behaviors as well as overall user health-related behaviors it can be inferred that additional measures are needed in addition to pursuing relevant information.",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002642741
5,2020.10,"서부 발칸의 ‘코로나 19’ 대응 특징과 중국 ‘코로나 외교’에 관한 연구: 크로아티아, 세르비아 간 상호비교를 중심으로",,A Study on the Characteristics of Western Balkan’s Response to ‘Covid-19’ and China’s ‘Corona Diplomacy’: Focused on mutual comparison between Croatia and Serbia,김철민(한국외국어대학교),"코로나 팬데믹은 전 세계적으로 두 가지 공통된 양상들, 즉 ‘방역과 경제 활성화 중 선택 강요’와 함께 ‘반(反)정부 시위 대두와 정치 조직화’ 문제를 낳고 있다. 서부 발칸 국가들 또한 이러한 양상들이 대두 중이다. 본 연구에선 서부 발칸 국가 중 EU 회원국인 크로아티아와 EU 비(非)회원국인 세르비아를 주요 사례로 선택해, 이들 국가에서 나타나는 ‘코로나 19’ 양상과 함께 각국의 대응 전략 및 그 특징을 상호 비교하고자 한다. 이와 함께, 본 연구에선 서부 발칸이 강대국 간 지전략적 요충지로 주목받고 있음을 토대로, 앞서 두 개의 공통 양상 외에 중국 ‘코로나 외교’를 첨가해 분석해 나갈 것이다. 실제, 중국은 서부 발칸을 ‘코로나 외교’의 중요 시험 무대로 삼고 있으며, 이것을 ‘일대일로 구상’ 실현을 위한 중요 매개체로 활용 중에 있다.
본 연구의 제2장에선 ‘코로나 19’로 인한 세계적인 공통 양상을 ‘방역과 경제 활성화 중 선택 강요’ 그리고 ‘반(反)정부 시위 대두와 정치 조직화’ 두 가지로 압축하고, 이를 기초로 서부 발칸 국가 중 세르비아와 크로아티아는 각각 어떤 선택과 대응 전략을 수립했는지? 그리고 그 결과는 어떠했는지?를 분석하고자 한다. 제3장에선 서부 발칸이 중국 ‘코로나 외교’의 중요 시험 무대라는 점을 토대로 ‘코로나 외교’에 대한 서부 발칸 국가들의 입장과 전략을 연구하고, 이것을 유럽을 향한 중국 ‘일대일로 구상’과 연계 전략에 대해 설명하고자 한다. 마지막으로 제4장에선 연구 내용의 요약 설명과 그 전망을 분석하고, 서부 발칸의 선험적 사례가 우리와 한반도에 남기는 시사점을 제기함으로써 결론을 맺을 것이다.","The ‘Corona Pandemic’ shows two common aspects around the World. First is ‘forced to choose between coronavirus quarantine and economic activation’, and second is ‘anti-government protests and political organization issues’. These aspects are also emerging in the Western Balkan. In this study, I selected Serbia and Croatia as major case countries among the Western Balkan countries; Croatia, an EU member and Serbia, a non-EU member. I would like to study the ‘Covid-19’ pattern in these countries, and to compare each country’s response strategy and their characteristics. Along with this, in this study, I note that the Western Balkan is a geo-strategic point among the Powers. Based on this, in addition to the two common aspects above, I will analyze the China’s ‘Corona Diplomacy’ in this study. In fact, China is using the Western Balkan as an important test stage for ‘Corona Diplomacy’, and is trying to use it as an important medium for realizing the ‘OBOR Initiative’.
In the Chapter II, I summarize the global common aspects caused by ‘Covid-19’ into ‘forced to choose between quarantine for coronavirus and economic activation’, and ‘anti-government protests and political organization issues’. On the basis of this, I analyze what Serbia and Croatia had options and did response strategies?, and study what were the results? In Chapter III, based on the fact that the Western Balkan is an important test stage for China’s ‘Corona Diplomacy’, I study the positions and strategies of the Serbia and Croatia on China’s ‘Corona Diplomacy’, and explain the strategy of linking this with China’s ‘OBOR Initiative’ for Europe. Finally, in Chapter IV, I summarize this study, and analyze its prospects. And I conclude by mentioning what are the implications for the Korean Peninsula.",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002639241
6,2020.03,코로나19 대유행시기의 보건복지: “온 보건복지(One Health &amp; Welfare)를 향하여”,“Toward One Health &amp; Welfare”: Health and welfare in the Covid-19 Pandemic,“Toward One Health &amp; Welfare”: Health and welfare in the Covid-19 Pandemic,신영전(한양대학교),,,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002575870
7,2020.03,코로나 19에 대한 보육교사의 정서적 경험과 달라진 어린이집 일상에 관한 연구,,A study on the emotional experiences of child care teachers and changes in their daily routine in centers after COVID-19,최예린(남서울대학교 아동복지학과 부교수),"본 연구는 코로나 19가 영유아를 담당하는 보육교사의 정서와 어린이집 일상에 미친 영향을 탐색하는 것을 목적으로 한다. 연구 참여자는 경기, 서울, 인천, 충남 어린이집에 종사하고 있는 105명 교사(원장, 원감, 교사)이다. 자료수집을 위해 서술적 질문지를 실시하였고, 이를 바탕으로 면담을 진행하였다. 자료 분석은 Giorgi의 현상학적 방법을 통해 2개의 상위주제와 11개의 주제로 분석되었다. 연구결과는 다음과 같다. 첫째, 코로나 19 상황에서 보육교사는 두려움을 넘은 공포, 피해 주는 것에 대한 걱정과 스트레스, 부정적 시선에 대한 속상함과 스트레스, 불안 상황에서 예민함, 확진 교사에게 감정이입과 같은 정서적 경험을 하였다. 둘째, 코로나 19 감염병은 어린이집의 평소 일상모습을 바꾸었다. 즉 마스크 속에 갇힌 유아와 교사, 사라진 접촉, 텅 빈 교실과 조기 퇴소, 의심자와 외부인 경계, 혼란의 2월, 매일의 소독 그리고 코로나 교육이 일상이 되었다. 이 연구는 신종감염 상황에서 보육교사들이 경험하는 정서와 어린이집 일상과 관련하여 처음으로 국내에서 수행된 연구라는 점에 의의가 있다. 연구결과는 전염병에 대한 보육교사 교육, 지원, 심리 상담 등에 관한 시사점을 제공할 것이다.","The purpose of this study is to explore the effects of COVID-19 on the emotions of child care teachers and daily routine in the centers. The subjects of this study were the 105 teachers including center director, assistant director, and teachers who work in day care centers in Gyeonggi, Seoul, Incheon, and Chungnam. Data were collected from a narrative questionnaire, and interview were conducted based on the questionnaire. The collected data were analyzed by Giorgi's phenomenological method into two main theme and eleven topics.
The results of the study were as follows. First, the child care teachers experienced emotions such as a phovia beyond fear, worry and stress about avoiding damage, to others, upset and stress about negative gaze, sensitivity in anxiety situations, and empathy to confirming teachers under COVID-19 infection situation. Second, COVID-19 infectious disease changed the daily routine of child-care centers. Children and teachers were trapped in masks all time, missing contact with others, experiencing empty classrooms, early exit, vigilance between suspects and outsiders, chaotic February, daily disinfection and daily COVID-19 education. This study has significance in that it is the first study conducted in South Korea in relation to child care teachers’ emotional experience in the case of new infections and changes in daily life in child care centers. The findings provide implications for the necessity of providing child care teachers with education, support, and psychological counseling on infectious disease.",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002571706
8,2020.03,코로나19 예방관리를 위한 국민 행동수칙과 위험소통에 대한 단상(斷想),,"Fragmentary thoughts about code of conduct and risk communication to prevent and control COVID-19 in Korea, 2020",이무식(건양대학교 의과대학 예방의학교실),.,"Objectives: COVID-19 has spread beyond Hubei Province of China to Europe, North America, and Asian countries including Korea, to enter the global pandemic stage. This article evaluated the code of conduct and risk communication strategies of COVID-19 in South Korea. Methods: The current status, and issues related to the code of conduct for prevention and management of COVID-19, a key area of risk communication, were reviewed, and future tasks were drawn. Results: The code of conduct and risk communication strategies for COVID-19 prevention and management should be developed according to the stage of the crisis alert and customized for each group. A consistent, unified and scientific evidence-based message with real life applicability should be developed and should be continuously and systematically monitored and evaluated. Conclusion: It is expected that evidence will be gathered through sufficient and diverse data analysis and in-depth research, to prepare guidelines and develop appropriate policies regarding code of conduct and risk communication.",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002576927
9,2020.03,코로나19와 누룩 - 마태복음 13장 33절,,COVID-19 and Yeast - Matthew 13:33,김재성(한신대학교),,,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002572499
