,title,link,description
0,코로나19 상황에서 독일 연방의회 운영현황 및 대응입법,http://academic.naver.com/article.naver?doc_id=645563076,"목차
코로나19 상황에서 독일 연방의회 운영현황 및 대응입법 / 주성훈 1
 연방의회 의사규칙 개정해"
1,코로나19 확산 대응 위한 재정정책 및 합리적 세제개편 추진,http://academic.naver.com/article.naver?doc_id=645562964,"목차
코로나19 확산 대응 위한 재정정책 및 합리적 세제개편 추진 / 윤후덕 1
 코로나19 확산 대응 위"
2,"군 코로나19 선제적 대응 또 한번 빛났다 : 국군의무사, 풀링 검사 도입",http://academic.naver.com/article.naver?doc_id=638381460,"목차
군 코로나19 선제적 대응 또 한번 빛났다 : 국군의무사, 풀링 검사 도입 코로나19 조기 식별 / 윤"
3,코로나바이러스감염증 2019(코로나19) 확산과 대기 중 PM10 및 PM2.5 농도 변,http://academic.naver.com/article.naver?doc_id=648361095,COVID-19(Coronavirus Disease 2019) Outbreaks and Their Relationship with Atmospheric Concentrations of PM10 and PM2.5: A Case Study for
4,"포스트 코로나 시대, 일상 속에서 외교를 만나다",http://academic.naver.com/article.naver?doc_id=644440308,"목차
포스트 코로나 시대, 일상 속에서 외교를 만나다 / 함상욱 1
 [머리글] 1
 시간과 공간 제약 극복"
5,"국회, 코로나19 확산방지책 논의, 코로나19 대응 추경안 의결",http://academic.naver.com/article.naver?doc_id=606885120,"목차
국회, 코로나19 확산방지책 논의, 코로나19 대응 추경안 의결 / 박민선 1
 국회 코로나19 특위, '코"
6,포스트 코로나 선도국가 도약을 위한 정책적 뒷받침 할 것,http://academic.naver.com/article.naver?doc_id=645562967,"목차
포스트 코로나 선도국가 도약을 위한 정책적 뒷받침 할 것 / 박광온 1
 디지털 대전환 기반 마련"
7,서부 발칸의 ‘코로나 19’ 대응 특징과 중국 ‘코로나 외교’에 관한 연,http://academic.naver.com/article.naver?doc_id=648013028,A Study on the Characteristics of Western Balkan’s Response to ‘Covid-19’ and China’s ‘Corona Diplomacy’: Focused on mutual
8,"&quot;코로나19 국회·정부 초당적 총력 대응&quot; : 문재인 대통령, 코로나19 대응",http://academic.naver.com/article.naver?doc_id=605532135,"목차
코로나19 국회·정부 초당적 총력 대응 : 문재인 대통령, 코로나19 대응 방안 논의 위해 국회 방"
9,'코로나19 추경안' 국회 통과,http://academic.naver.com/article.naver?doc_id=606873414,"목차
'코로나19 추경안' 국회 통과 / 국회보 1
 [본문] 1 코로나19, 감염병대응"
10,"'국회 코로나19 대책 특별위원회' 구성의 건, '코로나 3법' 의결",http://academic.naver.com/article.naver?doc_id=605532149,"목차
'국회 코로나19 대책 특별위원회' 구성의 건, '코로나 3법' 의결 / 국회보 1
 검역법 일부개정법률"
11,육군 혈액이 '절반' : 코로나 위기 속 단체헌혈 42% 차지,http://academic.naver.com/article.naver?doc_id=638381458,"목차
육군 혈액이 '절반' : 코로나 위기 속 단체헌혈 42% 차지 / 김상윤 1
 [본문] 1 코로나19, 단체헌혈"
12,&quot;일하는 국회 제도화로 코로나19로 인한 경제 위기 극복&quot; : 김영진 원내수,http://academic.naver.com/article.naver?doc_id=645563046,"목차
일하는 국회 제도화로 코로나19로 인한 경제 위기 극복 : 김영진 원내수석부대표(더불어민주당,"
13,"그린뉴딜, 코로나19 등 주제로 토론회 열려 : 일하는 국회 공부하는 국회",http://academic.naver.com/article.naver?doc_id=644440315,"목차
그린뉴딜, 코로나19 등 주제로 토론회 열려 / 서기정 1
 그린뉴딜-경제위기·기후위기·생태위기"
14,포스트코로나 시대의 새로운 시대정신,http://academic.naver.com/article.naver?doc_id=638371623,"A New Zeitgeist in the Era of Post Corona 논평. 포스트코로나 시대의 새로운 시대정신.  포스트 코로나, 비대면"
15,코로나19 바이러스 확산과 미국 도서관의 대응.2,http://academic.naver.com/article.naver?doc_id=608101630,"목차
코로나19 바이러스 확산과 미국 도서관의 대응. 2 / 류영호 1
 [Title] 1
 저소득 및 소외계층을 위"
16,코로나(COVID-19) 사태의 장기화로 인한 스트레스 수준은 모든 소비자가 동,http://academic.naver.com/article.naver?doc_id=645526144,COVID-19 Stress: Is the level of COVID-19 stress same for everybody? -Segmentation approach based on COVID-19 Stress level- 최근 코
17,코로나19의 미국 면세산업 영향 분석,http://academic.naver.com/article.naver?doc_id=647932983,"An Analysis of COVID-19’s Effect on the Travel retail Industry in the U.S. 2000년 이후, 사스, 조류독감 등의 전염병 뿐"
18,"코로나19 극복 군 지원 연인원 7만 육박 : 군, &quot;도움 필요한 곳 어디든 달",http://academic.naver.com/article.naver?doc_id=638381441,"목차
코로나19 극복 軍 지원 연인원 7만 육박 : 軍, &quot;도움 필요한 곳 어디든 달려갈 것&quot; / 맹수열 1
 [본"
19,코로나바이러스감염증-19로 인한 교통수요 변화 분석,http://academic.naver.com/article.naver?doc_id=648023241,An Analysis of Change in Traffic Demand with Coronavirus Disease 2019 본 연구는 코로나19가 도로 교통수요(평균 일교통
20,"국회, 코로나19 사태 및 북한 공동연락사무소 폭파 등 논의",http://academic.naver.com/article.naver?doc_id=638282804,"목차
국회, 코로나19 사태 및 북한 공동연락사무소 폭파 등 논의 / 박민선 1
 산업통상자원중소벤처기"
21,코로나19 바이러스 확산과 미국 도서관의 대응,http://academic.naver.com/article.naver?doc_id=606885135,"목차
코로나19 바이러스 확산과 미국 도서관의 대응 / 류영호 1
 코로나19(COVID-19) 바이러스로 대형 국"
